date,home_team,away_team,home_goals,away_goals
2023-11-01,Paris SG,Angers,2,0
2023-11-01,Nice,Montpellier,6,1
2023-11-01,Nantes,Lyon,0,0
2023-11-01,Troyes,Marseille,0,2
2023-11-02,Clermont,Marseille,0,2
2023-11-02,Monaco,Paris SG,3,1
2023-11-03,Auxerre,Rennes,0,0
2023-11-03,Brest,Paris SG,1,2
2023-11-08,Nice,Lille,1,1
2023-11-11,Reims,Paris SG,0,3
2023-11-11,Le Havre,Monaco,0,0
2023-12-02,Angers,Auxerre,1,1
2023-12-02,Toulouse,Rennes,3,1
2023-12-02,Lille,Strasbourg,2,0
2023-12-02,Montpellier,Brest,3,0
2023-12-02,Reims,Troyes,4,0
2023-12-02,Nantes,Lorient,1,0
2023-12-02,Lyon,Lens,2,1
2023-12-03,Marseille,Strasbourg,2,2
2023-12-03,Monaco,Reims,0,1
2023-12-03,Nantes,Nice,2,2
2023-12-03,Ajaccio,Montpellier,0,1
2023-12-03,Angers,Toulouse,0,2
2023-12-03,Clermont,Lens,0,4
2023-12-03,Lorient,Troyes,2,0
2023-12-05,Lens,Reims,2,1
2023-12-08,Paris SG,Lorient,0,0
2023-12-08,Marseille,Reims,2,1
2023-12-11,Lens,Marseille,1,0
2023-12-11,Rennes,Lyon,0,1
2023-12-11,Metz,Nantes,3,1
2023-12-11,Lille,Toulouse,1,1
2023-12-11,Clermont,Lorient,1,0
2024-01-03,Monaco,Paris SG,0,0
2024-01-09,Monaco,Lens,1,1
2024-01-09,Le Havre,Auxerre,3,1
2024-01-09,Angers,Nice,1,4
2024-01-09,Lille,Paris SG,1,3
2024-01-09,Reims,Rennes,2,1
2024-01-11,Lille,Lyon,1,1
2024-01-11,Monaco,Angers,0,1
2024-01-12,Montpellier,Lille,2,2
2024-01-12,Le Havre,Angers,0,1
2024-01-12,Toulouse,Auxerre,2,0
2024-01-12,Marseille,Monaco,2,1
2024-01-12,Lyon,Nice,4,1
2024-02-02,Strasbourg,Paris SG,1,2
2024-02-03,Reims,Lille,0,1
2024-02-03,Clermont,Marseille,1,5
2024-02-11,St Etienne,Strasbourg,2,0
2024-02-11,Brest,Nice,0,1
2024-02-11,Paris SG,Lens,1,0
2024-03-02,Nantes,Lens,0,1
2024-03-02,Rennes,Montpellier,2,1
2024-03-03,Toulouse,Nice,2,1
2024-03-03,Lyon,Lens,0,3
2024-03-03,Brest,Le Havre,1,0
2024-03-03,Montpellier,Strasbourg,2,2
2024-03-03,Nantes,Metz,0,2
2024-03-03,Rennes,Lorient,1,2
2024-03-05,Toulouse,Montpellier,1,2
2024-03-05,Lens,Lorient,2,0
